Parameter,Value
Number of particles,10
Max Epochs,50
Dimensions,7
Min x,-10.0
Max x,10.0
Inertia,0.99
C1,1.99
C2,1.99
Best Solution,0,0,0,0,1,1,1
Total gain,9050000
Best Error,-9050000
Total Time (seconds),0.002996683120727539
