Population Size,Crossover Probability,Mutation Probability,Generations,Best Fitness,Computation Time (s)
50.0,0.8999999999999999,0.2,100.0,1.0870479277709055,0.10554218292236328
100.0,0.7999999999999999,0.1,100.0,1.123071306494552,0.23942041397094727
100.0,0.7,0.4,80.0,1.6450219161516486,0.22657370567321777
100.0,0.8999999999999999,0.1,60.0,1.9505454535899727,0.15467548370361328
100.0,0.7999999999999999,0.4,100.0,2.2356008547070605,0.2813401222229004
50.0,0.8999999999999999,0.4,80.0,2.6786641053919613,0.08414530754089355
