Population Size,Crossover Probability,Mutation Probability,Generations,Best Fitness,Best solution,Computation Time (s)
60.0,0.8999999999999999,0.7,44.0,25.07983924789241,"[17.44348395570646, 113.94498147261905, -18.86769195716669, -28.652213392132218, 25.58026811290437, -70.4813019746649]",0.33733391761779785
60.0,0.7999999999999999,0.7,42.0,25.083941286434563,"[-41.21208926725988, -280.3554884018012, 83.21925429119253, 125.52560536358743, -30.02106490490205, 84.50826400019731]",0.33310651779174805
10.0,0.7,0.6,43.0,117.02479648778618,"[41.28336872948485, 34.9648805031884, -152.3952128425984, 57.67147795814613, -18.262332825318623, 81.39486794505599]",0.05076742172241211
10.0,0.7999999999999999,0.7,40.0,136.2002244618272,"[10.255941897499683, -77.72261787194013, 89.80532169628357, 34.51957683974195, -162.1862163545599, 76.80504253608893]",0.048929452896118164
10.0,0.7999999999999999,0.6,40.0,169.68508483819386,"[-82.09738179922655, -26.240335420789812, 69.40209393910506, -11.643168196263217, -68.09597001425101, 18.774718895795782]",0.05114102363586426
