Population Size,Crossover Probability,Mutation Probability,Generations,Best Fitness,Best solution,Computation Time (s)
60.0,0.7,0.6,41.0,25.068741020604996,"[-30.11871787576961, -219.58979698805481, 146.33531008037724, 213.73991589021637, -41.512789724624, 121.15072630360905]",0.2971346378326416
110.0,0.7,0.7,49.0,25.069662974944265,"[16.138069995067784, 117.04152294390215, -28.02900696216064, -41.01886659291078, 7.840633576298577, -22.807757966910366]",0.6767535209655762
10.0,0.7,0.6,46.0,209.2166909965614,"[-58.93526284839476, 67.75192454071909, -36.31016074038115, -33.977848483537535, -82.87480400201312, -29.86701964934911]",0.0513918399810791
10.0,0.7,0.6,44.0,230.0850644696908,"[75.38474004190086, 57.333759414517374, -34.36438294049819, -94.5786379089197, 54.24959598179016, -10.75539111041506]",0.0548245906829834
10.0,0.7,0.7,40.0,253.99782603873297,"[-15.71186082492538, -30.27827739078341, 70.91381554240252, 51.12987780805429, 88.57856135092902, -95.5037158801841]",0.04893302917480469
