Population Size,Crossover Probability,Mutation Probability,Generations,Best Fitness,Best solution,Computation Time (s)
110.0,0.7,0.6,995.0,25.068499049535973,"[-16.374731200320767, -119.52647600964309, -28.339081853602636, -41.37609880211498, -7.666162048751064, 22.384384327879676]",12.573676109313965
60.0,0.8999999999999999,0.6,999.0,25.068512976321145,"[-16.11744944855206, -117.64702870788004, 55.153539198798256, 80.52666930342588, -87.54488815198081, 255.61624421698278]",7.615818023681641
10.0,0.9999999999999999,0.7,995.0,27.5194523618987,"[-6.087302334523713, 118.31839853159167, -59.26928384424701, -55.56503507297598, -28.322564418360567, 198.4032607096687]",1.3308031558990479
10.0,0.7,0.7,999.0,27.738660955799077,"[7.481302937710718, -120.41829909559951, 69.53615798359007, 62.23589766531013, -18.077191491015817, 131.31568997108656]",1.221470594406128
10.0,0.7999999999999999,0.6,999.0,28.03316328696096,"[-7.615785015255524, 106.79210038194692, 73.65009463972694, 64.04275820988866, 7.876388025166663, -62.65936555687739]",1.2228596210479736
